id,name,cat_id,category,sub_cat_id,subcategory,four_letter,four_letter_total_voted,enneagram,enneagram_total_voted,socionics,socionics_total_voted,instinctual_variant,instinctual_variant_total_voted,tritype,tritype_total_voted,temperaments,temperaments_total_voted,attitudinal_psyche,attitudinal_psyche_total_voted,big_5_SLOAN,big_5_SLOAN_total_voted,classic_jungian,classic_jungian_total_voted,letter_1,letter_1_percentage,letter_2,letter_2_percentage,letter_3,letter_3_percentage,letter_4,letter_4_percentage,four_letter_total_voted_binned
70,Barack Obama,6,Political,12,Presidents of the USA,ENFJ,3588,3w2,778,EIE,166,so/sp,207,397.0,175,Phlegmatic-Sanguine,147,LVFE,46,SCOAI,106,EF(N),62,E,0.97,N,0.96,F,0.49,J,0.51,50+
4245,Jimin (BTS),29,Kpop,1548,Kpop,ENFJ,1768,3w2,723,EIE,102,sx/so,273,371.0,189,Sanguine-Melancholic,152,VEFL,57,SLOAN,83,EF(N),29,E,0.97,N,0.77,F,0.91,J,0.79,50+
28434,Bang Chan (Stray Kids),29,Kpop,1548,Kpop,ENFJ,1338,2w3,622,ESE,77,so/sx,291,269.0,221,Sanguine-Melancholic,204,VELF,62,SCOAI,124,EF(N),32,E,0.98,N,0.96,F,0.98,J,0.97,50+
24955,Beomgyu (TXT),29,Kpop,1548,Kpop,ENFJ,1196,4w3,534,IEI,87,so/sx,238,371.0,200,Sanguine-Melancholic,179,EFVL,53,SLOAI,104,EF(S),37,E,0.77,N,0.74,F,0.98,J,0.94,50+
8943,Jackson Wang (GOT7),29,Kpop,1548,Kpop,ENFJ,1056,3w2,207,SEE,34,so/sx,71,378.0,50,Sanguine [Dominant],48,FEVL,10,SCUAN,20,ES(F),6,E,1.0,N,0.51,F,0.97,J,0.51,50+
11993,Anya Taylor-Joy,1,Pop Culture,3424,Actors and Actresses (UK & Ireland),ENFJ,1035,7w6,280,ESE,65,so/sx,87,729.0,73,Sanguine [Dominant],80,EFVL,16,SLUAI,23,EF(N),15,E,0.89,N,0.66,F,0.95,J,0.89,50+
971,Emma Stone,1,Pop Culture,13,Actors and Actresses (USA),ENFJ,752,6w7,212,ESE,55,so/sx,70,639.0,61,Sanguine [Dominant],58,EFVL,18,SLOAI,27,EF(N),11,E,0.98,N,0.91,F,0.76,J,0.66,50+
52937,Sydney Sweeney,1,Pop Culture,13,Actors and Actresses (USA),ENFJ,681,3w2,220,ESE,46,sx/so,72,379.0,47,Sanguine [Dominant],56,VEFL,18,SLOAI,25,EF(S),21,E,0.96,N,0.78,F,0.67,J,0.91,50+
10686,Meghan Markle,1,Pop Culture,13,Actors and Actresses (USA),ENFJ,663,3w2,255,EIE,42,so/sp,74,378.0,58,Phlegmatic-Choleric,51,VEFL,16,SLOAI,36,EF(N),11,E,0.97,N,0.81,F,0.89,J,0.9,50+
19051,Alexandria Ocasio-Cortez,6,Political,357,Government (USA),ENFJ,648,6w7,243,EIE,64,so/sx,82,628.0,78,Choleric-Sanguine,56,VEFL,24,SLOAI,34,EF(N),13,E,0.96,N,0.87,F,0.95,J,0.91,50+
422117,Huh Yunjin (LE SSERAFIM),29,Kpop,1548,Kpop,ENFJ,520,6w7,150,EIE,57,so/sp,63,629.0,65,Phlegmatic-Sanguine,56,VEFL,32,SCOAI,53,EF(N),30,E,0.75,N,0.79,F,0.98,J,0.78,50+
529174,Danielle (NewJeans),29,Kpop,1548,Kpop,ENFJ,509,2w3,153,ESE,42,so/sx,52,279.0,56,Sanguine-Phlegmatic,44,EFLV,22,SCOAI,36,EF(N),26,E,1.0,N,0.67,F,0.97,J,0.7,50+
29749,Dove Cameron,1,Pop Culture,13,Actors and Actresses (USA),ENFJ,488,4w3,188,EIE,35,sp/sx,54,471.0,46,Melancholic-Sanguine,48,EFVL,16,SLOAI,26,EF(N),9,E,0.6,N,0.55,F,0.98,J,0.58,50+
6126,Anthony Padilla,15,Internet,3375,Comedians,ENFJ,434,6w7,84,IEE,23,sp/so,30,694.0,27,Sanguine-Phlegmatic,32,ELFV,10,SCOAI,20,EF(N),8,E,0.61,N,0.83,F,0.99,J,0.86,50+
64059,Ekrem İmamoğlu,6,Political,5094,Government (Middle East),ENFJ,431,3w2,159,ESE,31,so/sp,35,379.0,35,Phlegmatic-Sanguine,22,VEFL,7,SCOAI,22,ES(T),7,E,0.99,N,0.58,F,0.65,J,0.65,50+
689,Oprah Winfrey,1,Pop Culture,85,Hosts & Presenters,ENFJ,424,3w2,167,EIE,37,so/sx,56,316.0,32,Phlegmatic-Choleric,24,VEFL,15,SCOAI,16,EF(N),8,E,0.96,N,0.88,F,0.97,J,0.99,50+
20619,Choerry (ARTMS),29,Kpop,1548,Kpop,ENFJ,399,7w6,156,IEE,30,so/sx,56,792.0,40,Sanguine [Dominant],51,EFLV,9,SCUAI,21,EF(S),5,E,0.99,N,0.78,F,0.99,J,0.79,50+
16719,Saoirse Ronan,1,Pop Culture,3424,Actors and Actresses (UK & Ireland),ENFJ,383,2w1,117,EIE,30,so/sp,36,278.0,32,Sanguine [Dominant],25,VEFL,9,SCOAI,13,EF(N),5,E,0.96,N,0.7,F,0.86,J,0.9,50+
8919,Chanyeol (EXO),29,Kpop,1548,Kpop,ENFJ,374,7w6,113,EIE,15,so/sx,38,793.0,30,Sanguine-Melancholic,27,VELF,11,SLUAI,12,EF(N),10,E,0.96,N,0.94,F,0.95,J,0.74,50+
2192,Justin Trudeau,6,Political,268,Government (World),ENFJ,330,3w2,133,EIE,31,so/sx,53,379.0,42,Sanguine [Dominant],28,VEFL,12,SCOAN,32,EF(N),13,E,0.97,N,0.88,F,0.92,J,0.92,50+
8916,Suho (EXO),29,Kpop,1548,Kpop,ENFJ,310,2w3,80,ESI,6,so/sp,19,261.0,16,Phlegmatic [Dominant],17,VEFL,2,SLOAN,15,EF(S),2,E,0.64,N,0.53,F,0.97,J,0.98,50+
2712,Meryl Streep,1,Pop Culture,13,Actors and Actresses (USA),ENFJ,301,2w1,92,ESE,15,sx/so,19,251.0,21,Phlegmatic-Sanguine,9,LEFV,9,SCUAI,7,EF(N),4,E,0.86,N,0.62,F,0.52,J,0.56,50+
470,Matthew McConaughey,1,Pop Culture,13,Actors and Actresses (USA),ENFJ,299,3w4,112,EIE,25,sx/so,32,379.0,29,Phlegmatic-Sanguine,15,FELV,2,SCOAI,6,,0,E,0.96,N,0.7,F,0.72,J,0.69,50+
29502,Malala Yousafzai,6,Political,270,Activists,ENFJ,296,1w2,137,EII,21,sp/so,30,126.0,28,Phlegmatic-Melancholic,23,VELF,6,RCOAI,16,EF(N),1,E,0.95,N,0.98,F,0.95,J,0.99,50+
3400,Gal Gadot,1,Pop Culture,3432,Actors & Actresses (World),ENFJ,277,2w3,85,ESE,25,so/sx,30,279.0,23,Sanguine-Phlegmatic,15,FELV,9,SLOAI,10,EF(S),6,E,0.95,N,0.63,F,0.93,J,0.93,50+
34167,Solar (MAMAMOO),29,Kpop,1548,Kpop,ENFJ,273,2w3,89,ESI,21,so/sx,17,271.0,38,Sanguine [Dominant],14,EVFL,4,SCOAI,13,EF(N),4,E,0.73,N,0.71,F,0.79,J,0.96,50+
22498,Rosalía,14,Musician,1551,"European, Musicians",ENFJ,271,3w4,126,EIE,15,so/sx,47,379.0,24,Sanguine [Dominant],34,EFVL,10,SCOAI,14,EF(N),8,E,0.99,N,0.93,F,0.97,J,0.66,50+
995,Hugh Jackman,1,Pop Culture,3426,Actors & Actresses (Oceania),ENFJ,270,2w3,70,ESE,15,so/sx,14,279.0,14,Sanguine [Dominant],12,EVFL,4,SCOAI,7,EF(S),6,E,0.99,N,0.53,F,0.96,J,0.96,50+
3281,Johann Wolfgang von Goethe,16,The Arts,3458,"Writers (Literature, Classic)",ENFJ,270,4w5,120,EIE,53,sx/so,38,451.0,38,Melancholic-Phlegmatic,28,FVLE,54,SLOEI,16,EF(N),16,E,0.73,N,0.98,F,0.96,J,0.92,50+
13533,Jim Jones,10,Noteworthy,94,Criminals,ENFJ,216,2w3,117,EIE,38,so/sx,45,261.0,36,Sanguine-Phlegmatic,25,VELF,19,SLOEI,24,EF(N),12,E,0.98,N,0.99,F,0.95,J,0.98,50+
14234,Franz Liszt,14,Musician,732,Classical,ENFJ,203,3w2,97,EIE,19,sx/so,24,317.0,16,Sanguine-Choleric,25,VEFL,8,SCOAI,12,EN(F),6,E,0.98,N,0.98,F,0.96,J,0.59,50+
