id,mbti,input_path,face_path,conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,ENFJ,ENFJ/10153_3fcd1856b1.jpg,train/ENFJ/10153_3fcd1856b1_face.jpg,0.8958452343940735,160,65,256,200
1,ENFJ,ENFJ/10153_60ddb3affb.jpg,train/ENFJ/10153_60ddb3affb_face.jpg,0.9101988077163696,100,79,228,255
2,ENFJ,ENFJ/10153_88240705a6.jpg,train/ENFJ/10153_88240705a6_face.jpg,0.9079338908195496,55,44,126,141
3,ENFJ,ENFJ/10153_a492d7f160.jpg,train/ENFJ/10153_a492d7f160_face.jpg,0.9102189540863037,189,175,450,519
4,ENFJ,ENFJ/102806_05ecb10c63.jpg,train/ENFJ/102806_05ecb10c63_face.jpg,0.8988609313964844,150,94,254,252
5,ENFJ,ENFJ/102806_26eae27c79.jpg,train/ENFJ/102806_26eae27c79_face.jpg,0.9041443467140198,363,241,737,807
6,ENFJ,ENFJ/102806_54df924316.jpg,train/ENFJ/102806_54df924316_face.jpg,0.8849000930786133,66,37,124,118
7,ENFJ,ENFJ/102806_d4f8136328.jpg,train/ENFJ/102806_d4f8136328_face.jpg,0.896316647529602,115,66,217,207
8,ENFJ,ENFJ/10294_3b221e3557.jpg,train/ENFJ/10294_3b221e3557_face.jpg,0.8939177989959717,523,160,871,623
9,ENFJ,ENFJ/10294_8887601966.jpg,train/ENFJ/10294_8887601966_face.jpg,0.9304403066635132,33,33,166,221
10,ENFJ,ENFJ/10294_c06d3d4e3f.jpg,train/ENFJ/10294_c06d3d4e3f_face.jpg,0.9135497808456421,264,248,1059,1360
11,ENFJ,ENFJ/10294_fe38ced4d8.jpg,train/ENFJ/10294_fe38ced4d8_face.jpg,0.906642496585846,293,295,1465,1952
12,ENFJ,ENFJ/10457_0450ca4dca.jpg,train/ENFJ/10457_0450ca4dca_face.jpg,0.8893902897834778,61,36,137,145
13,ENFJ,ENFJ/10457_178dc6b1f1.jpg,train/ENFJ/10457_178dc6b1f1_face.jpg,0.8871614336967468,89,21,142,98
14,ENFJ,ENFJ/10457_73972a6a87.jpg,train/ENFJ/10457_73972a6a87_face.jpg,0.8756924271583557,72,41,156,168
15,ENFJ,ENFJ/10457_c8869b3d9c.jpg,train/ENFJ/10457_c8869b3d9c_face.jpg,0.9079111814498901,1498,801,3407,3669
16,ENFJ,ENFJ/105883_24c4cda8a9.jpg,train/ENFJ/105883_24c4cda8a9_face.jpg,0.8973026871681213,322,199,516,461
17,ENFJ,ENFJ/105883_851950804e.jpg,train/ENFJ/105883_851950804e_face.jpg,0.860715925693512,518,292,618,431
18,ENFJ,ENFJ/105883_adbaf634ae.jpg,train/ENFJ/105883_adbaf634ae_face.jpg,0.8922955393791199,74,46,118,105
19,ENFJ,ENFJ/105883_f59feb0edd.jpg,train/ENFJ/105883_f59feb0edd_face.jpg,0.8915900588035583,220,229,505,611
20,ENFJ,ENFJ/10686_2e497d7276.jpg,val/ENFJ/10686_2e497d7276_face.jpg,0.9044522047042847,65,28,130,120
21,ENFJ,ENFJ/10686_79b8e5934f.jpg,val/ENFJ/10686_79b8e5934f_face.jpg,0.9081203937530518,209,89,457,434
22,ENFJ,ENFJ/10686_b7178df3a7.jpg,val/ENFJ/10686_b7178df3a7_face.jpg,0.375518798828125,161,436,383,612
23,ENFJ,ENFJ/10686_cb8554e1d7.jpg,val/ENFJ/10686_cb8554e1d7_face.jpg,0.910042405128479,693,576,1561,1777
24,ENFJ,ENFJ/11313_1c9a8f63d3.jpg,test/ENFJ/11313_1c9a8f63d3_face.jpg,0.8951554298400879,46,40,130,160
25,ENFJ,ENFJ/11313_55fb3dca81.jpg,test/ENFJ/11313_55fb3dca81_face.jpg,0.9056856632232666,1292,320,2428,1988
26,ENFJ,ENFJ/11313_8761fd4c73.jpg,test/ENFJ/11313_8761fd4c73_face.jpg,0.8993935585021973,102,89,291,358
27,ENFJ,ENFJ/11313_e4a71198d9.jpg,test/ENFJ/11313_e4a71198d9_face.jpg,0.9055450558662415,165,123,350,374
28,ENFJ,ENFJ/11324_529452d229.jpg,val/ENFJ/11324_529452d229_face.jpg,0.8950390815734863,18,0,152,179
29,ENFJ,ENFJ/11324_be28cea9ec.jpg,val/ENFJ/11324_be28cea9ec_face.jpg,0.8968424797058105,441,101,732,457
30,ENFJ,ENFJ/11324_c91491214c.jpg,val/ENFJ/11324_c91491214c_face.jpg,0.9031528234481812,65,2,575,669
31,ENFJ,ENFJ/11324_f004a8b027.jpg,val/ENFJ/11324_f004a8b027_face.jpg,0.8804285526275635,523,98,956,652
32,ENFJ,ENFJ/113507_9787f611ce.jpg,test/ENFJ/113507_9787f611ce_face.jpg,0.8770954012870789,110,63,214,207
33,ENFJ,ENFJ/113507_af83ba604a.jpg,test/ENFJ/113507_af83ba604a_face.jpg,0.9097952842712402,57,23,124,117
34,ENFJ,ENFJ/113507_dfa5e2181f.jpg,test/ENFJ/113507_dfa5e2181f_face.jpg,0.8839690089225769,51,27,141,159
35,ENFJ,ENFJ/114093_2e31854bb6.jpg,train/ENFJ/114093_2e31854bb6_face.jpg,0.917998731136322,149,46,351,331
36,ENFJ,ENFJ/114093_36babfc848.jpg,train/ENFJ/114093_36babfc848_face.jpg,0.9112521409988403,246,104,474,442
37,ENFJ,ENFJ/114093_90aaea699a.jpg,train/ENFJ/114093_90aaea699a_face.jpg,0.8860248923301697,113,26,155,85
38,ENFJ,ENFJ/114093_e320581335.jpg,train/ENFJ/114093_e320581335_face.jpg,0.8961663246154785,149,46,247,187
39,ENFJ,ENFJ/114106_47c2dc40d5.jpg,test/ENFJ/114106_47c2dc40d5_face.jpg,0.910306453704834,360,214,691,692
40,ENFJ,ENFJ/114106_54755eb8dd.jpg,test/ENFJ/114106_54755eb8dd_face.jpg,0.8962313532829285,67,40,129,128
41,ENFJ,ENFJ/114106_9002282d2a.jpg,test/ENFJ/114106_9002282d2a_face.jpg,0.9036970734596252,615,604,1203,1464
42,ENFJ,ENFJ/114106_c2284bee96.jpg,test/ENFJ/114106_c2284bee96_face.jpg,0.8996374011039734,243,64,352,225
43,ENFJ,ENFJ/11479_043de8c05b.jpg,train/ENFJ/11479_043de8c05b_face.jpg,0.9183471202850342,64,123,292,360
44,ENFJ,ENFJ/11479_336b0fa14b.jpg,train/ENFJ/11479_336b0fa14b_face.jpg,0.8788205981254578,348,141,1308,1320
45,ENFJ,ENFJ/11479_7654179324.jpg,train/ENFJ/11479_7654179324_face.jpg,0.8889851570129395,39,11,146,144
46,ENFJ,ENFJ/11479_d98ae938da.jpg,train/ENFJ/11479_d98ae938da_face.jpg,0.8794134855270386,273,138,489,400
47,ENFJ,ENFJ/11597_2f853e2546.jpg,train/ENFJ/11597_2f853e2546_face.jpg,0.9048888087272644,54,39,171,192
48,ENFJ,ENFJ/11597_4a70568b9f.jpg,train/ENFJ/11597_4a70568b9f_face.jpg,0.8992153406143188,115,58,288,298
49,ENFJ,ENFJ/11597_a524766b6f.jpg,train/ENFJ/11597_a524766b6f_face.jpg,0.9067370295524597,72,31,163,153
50,ENFJ,ENFJ/11597_d95b354e82.jpg,train/ENFJ/11597_d95b354e82_face.jpg,0.9002164006233215,306,269,987,1098
51,ENFJ,ENFJ/11673_35724c018d.jpg,train/ENFJ/11673_35724c018d_face.jpg,0.8948477506637573,126,290,503,781
52,ENFJ,ENFJ/11673_3cc51bfbf6.jpg,train/ENFJ/11673_3cc51bfbf6_face.jpg,0.9168718457221985,39,55,166,219
53,ENFJ,ENFJ/11673_b0c8f606e7.jpg,train/ENFJ/11673_b0c8f606e7_face.jpg,0.9051810503005981,131,45,279,260
54,ENFJ,ENFJ/11673_fd17809905.jpg,train/ENFJ/11673_fd17809905_face.jpg,0.9100210070610046,345,379,1465,1936
55,ENFJ,ENFJ/11777_04b6b3387a.jpg,train/ENFJ/11777_04b6b3387a_face.jpg,0.8942680358886719,164,99,242,202
56,ENFJ,ENFJ/11777_9b145cc195.jpg,train/ENFJ/11777_9b145cc195_face.jpg,0.8949167728424072,56,41,143,166
57,ENFJ,ENFJ/11777_a5cbcfdbf8.jpg,train/ENFJ/11777_a5cbcfdbf8_face.jpg,0.8874369859695435,270,288,819,1106
58,ENFJ,ENFJ/11777_e0c982234d.jpg,train/ENFJ/11777_e0c982234d_face.jpg,0.9020870923995972,178,139,471,544
59,ENFJ,ENFJ/11993_00afe14a5b.jpg,val/ENFJ/11993_00afe14a5b_face.jpg,0.8878684043884277,871,248,1141,621
60,ENFJ,ENFJ/11993_2f5f8a32eb.jpg,val/ENFJ/11993_2f5f8a32eb_face.jpg,0.9000797271728516,266,58,508,374
61,ENFJ,ENFJ/11993_6a5eb51f3c.jpg,val/ENFJ/11993_6a5eb51f3c_face.jpg,0.8838376402854919,79,75,125,134
62,ENFJ,ENFJ/11993_ec39c2cec5.jpg,val/ENFJ/11993_ec39c2cec5_face.jpg,0.885668158531189,307,291,489,527
63,ENFJ,ENFJ/124294_6f7d5bf831.jpg,train/ENFJ/124294_6f7d5bf831_face.jpg,0.9068556427955627,59,42,124,135
64,ENFJ,ENFJ/124294_858ff35a00.jpg,train/ENFJ/124294_858ff35a00_face.jpg,0.9120122194290161,161,114,339,371
65,ENFJ,ENFJ/124294_8be56c6e13.jpg,train/ENFJ/124294_8be56c6e13_face.jpg,0.8991700410842896,114,47,196,168
66,ENFJ,ENFJ/124294_b89e190c8d.jpg,train/ENFJ/124294_b89e190c8d_face.jpg,0.8953877091407776,65,45,147,154
67,ENFJ,ENFJ/12473_0a932533b7.jpg,train/ENFJ/12473_0a932533b7_face.jpg,0.9118591547012329,331,143,712,651
68,ENFJ,ENFJ/12473_13c84e8ef0.jpg,train/ENFJ/12473_13c84e8ef0_face.jpg,0.9296823740005493,67,53,167,176
69,ENFJ,ENFJ/12473_5333904c90.jpg,train/ENFJ/12473_5333904c90_face.jpg,0.9316810965538025,1666,1287,4089,4365
70,ENFJ,ENFJ/12473_a7a4929000.jpg,train/ENFJ/12473_a7a4929000_face.jpg,0.8836172223091125,86,41,127,94
71,ENFJ,ENFJ/126601_1217754abb.jpg,train/ENFJ/126601_1217754abb_face.jpg,0.9098817110061646,381,70,584,337
72,ENFJ,ENFJ/126601_5323ab654a.jpg,train/ENFJ/126601_5323ab654a_face.jpg,0.8755152225494385,173,39,260,145
73,ENFJ,ENFJ/126601_d1fa0162ca.jpg,train/ENFJ/126601_d1fa0162ca_face.jpg,0.8207870721817017,87,34,146,104
74,ENFJ,ENFJ/12664_1e5f8a7e4a.jpg,train/ENFJ/12664_1e5f8a7e4a_face.jpg,0.8983300924301147,150,104,264,276
75,ENFJ,ENFJ/12664_4025305507.jpg,train/ENFJ/12664_4025305507_face.jpg,0.9026411771774292,39,70,127,205
76,ENFJ,ENFJ/12664_de8ef0149e.jpg,train/ENFJ/12664_de8ef0149e_face.jpg,0.9065940976142883,956,1703,3135,5020
77,ENFJ,ENFJ/12664_eecdf44708.jpg,train/ENFJ/12664_eecdf44708_face.jpg,0.9175376296043396,113,105,295,366
78,ENFJ,ENFJ/129154_37af4121f3.jpg,test/ENFJ/129154_37af4121f3_face.jpg,0.8899218440055847,132,54,228,185
79,ENFJ,ENFJ/129154_9942e32f86.jpg,test/ENFJ/129154_9942e32f86_face.jpg,0.8759745359420776,61,24,105,85
80,ENFJ,ENFJ/129154_c4e53fa197.jpg,test/ENFJ/129154_c4e53fa197_face.jpg,0.9041135907173157,276,30,516,350
81,ENFJ,ENFJ/129154_e43fc8b9ae.jpg,test/ENFJ/129154_e43fc8b9ae_face.jpg,0.9035263657569885,324,99,474,310
82,ENFJ,ENFJ/129644_4f1d945125.jpg,train/ENFJ/129644_4f1d945125_face.jpg,0.9230443835258484,6,22,120,155
83,ENFJ,ENFJ/129644_815ce7944b.jpg,train/ENFJ/129644_815ce7944b_face.jpg,0.8977100253105164,77,22,121,82
84,ENFJ,ENFJ/129644_b74c7eb373.jpg,train/ENFJ/129644_b74c7eb373_face.jpg,0.8874629735946655,443,253,815,701
85,ENFJ,ENFJ/131784_83ce53cc40.jpg,test/ENFJ/131784_83ce53cc40_face.jpg,0.8962594866752625,501,101,719,415
86,ENFJ,ENFJ/131784_afd80738d0.jpg,test/ENFJ/131784_afd80738d0_face.jpg,0.8837777376174927,93,20,135,77
87,ENFJ,ENFJ/131784_b9af33240c.jpg,test/ENFJ/131784_b9af33240c_face.jpg,0.9008467197418213,148,72,274,247
88,ENFJ,ENFJ/131784_e4a757a2ab.jpg,test/ENFJ/131784_e4a757a2ab_face.jpg,0.8977509140968323,509,74,697,347
89,ENFJ,ENFJ/134937_4c76f18b3e.jpg,train/ENFJ/134937_4c76f18b3e_face.jpg,0.9296536445617676,86,86,214,247
