id,mbti,input_path,face_path,conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,split
0,ENFJ,ENFJ/0018703272.jpg,ENFJ/0018703272_face.jpg,0.8793812990188599,75,46,128,113,train
1,ENFJ,ENFJ/00646ddeb4.jpg,ENFJ/00646ddeb4_face.jpg,0.8959038853645325,178,142,524,650,val
2,ENFJ,ENFJ/008de321da.jpg,ENFJ/008de321da_face.jpg,0.8861724138259888,61,35,128,134,train
3,ENFJ,ENFJ/009cb9c5a5.jpg,ENFJ/009cb9c5a5_face.jpg,0.9008172154426576,341,3,700,445,train
4,ENFJ,ENFJ/00af54f16b.jpg,ENFJ/00af54f16b_face.jpg,0.8900057673454285,84,63,163,166,train
5,ENFJ,ENFJ/01b39f0ffa.jpg,ENFJ/01b39f0ffa_face.jpg,0.9051632881164552,55,34,135,142,train
6,ENFJ,ENFJ/0236d4b073.jpg,ENFJ/0236d4b073_face.jpg,0.8953863382339478,79,23,123,84,train
7,ENFJ,ENFJ/02acb73c89.jpg,ENFJ/02acb73c89_face.jpg,0.8882930874824524,103,99,621,826,train
8,ENFJ,ENFJ/030a4d642e.jpg,ENFJ/030a4d642e_face.jpg,0.8944778442382812,355,349,1024,1270,train
9,ENFJ,ENFJ/03e0f48f58.jpg,ENFJ/03e0f48f58_face.jpg,0.8936592936515808,71,51,165,168,train
10,ENFJ,ENFJ/048ad6b1ab.jpg,ENFJ/048ad6b1ab_face.jpg,0.8822483420372009,81,51,155,150,val
11,ENFJ,ENFJ/04fd980fea.jpg,ENFJ/04fd980fea_face.jpg,0.9099754691123962,743,245,1374,1115,train
12,ENFJ,ENFJ/052cba946f.jpg,ENFJ/052cba946f_face.jpg,0.8971405625343323,60,59,120,138,train
13,ENFJ,ENFJ/063f7c68a4.jpg,ENFJ/063f7c68a4_face.jpg,0.9175946116447448,445,73,860,616,train
14,ENFJ,ENFJ/072315cb71.jpg,ENFJ/072315cb71_face.jpg,0.8891456127166748,173,98,305,254,train
15,ENFJ,ENFJ/0991aebe9d.jpg,ENFJ/0991aebe9d_face.jpg,0.8989920616149902,98,20,162,105,test
16,ENFJ,ENFJ/09fb30de1e.jpg,ENFJ/09fb30de1e_face.jpg,0.9163479208946228,146,106,401,436,train
17,ENFJ,ENFJ/0a2607b0c9.jpg,ENFJ/0a2607b0c9_face.jpg,0.8748318552970886,447,256,993,985,val
18,ENFJ,ENFJ/0a71ddb623.jpg,ENFJ/0a71ddb623_face.jpg,0.9027873277664183,294,310,673,881,train
19,ENFJ,ENFJ/0a958c600a.jpg,ENFJ/0a958c600a_face.jpg,0.8918121457099915,553,199,813,573,train
20,ENFJ,ENFJ/0bfa6e8920.jpg,ENFJ/0bfa6e8920_face.jpg,0.8744584918022156,130,19,167,71,train
21,ENFJ,ENFJ/0c19212a13.jpg,ENFJ/0c19212a13_face.jpg,0.9149980545043944,574,334,1166,1037,train
22,ENFJ,ENFJ/0c1c13711f.jpg,ENFJ/0c1c13711f_face.jpg,0.8842215538024902,68,58,123,135,val
23,ENFJ,ENFJ/0d773b3d11.jpg,ENFJ/0d773b3d11_face.jpg,0.7001985907554626,30,0,220,213,test
24,ENFJ,ENFJ/0df0e49787.jpg,ENFJ/0df0e49787_face.jpg,0.9081276655197144,95,30,166,129,train
25,ENFJ,ENFJ/0dfa91f4ca.jpg,ENFJ/0dfa91f4ca_face.jpg,0.9296570420265198,161,148,620,780,train
26,ENFJ,ENFJ/0e3c100729.jpg,ENFJ/0e3c100729_face.jpg,0.9101171493530272,27,79,115,206,train
27,ENFJ,ENFJ/0ea551526a.jpg,ENFJ/0ea551526a_face.jpg,0.9084677696228028,71,44,163,173,train
28,ENFJ,ENFJ/104af0f9bd.jpg,ENFJ/104af0f9bd_face.jpg,0.910233199596405,248,4,965,917,train
29,ENFJ,ENFJ/10b5ec92ee.jpg,ENFJ/10b5ec92ee_face.jpg,0.9033731818199158,176,152,418,467,train
30,ENFJ,ENFJ/10c4c0c495.jpg,ENFJ/10c4c0c495_face.jpg,0.9025548100471495,71,57,144,150,train
31,ENFJ,ENFJ/10d8ffd575.jpg,ENFJ/10d8ffd575_face.jpg,0.9024306535720824,654,639,1309,1512,test
32,ENFJ,ENFJ/10f2435f96.jpg,ENFJ/10f2435f96_face.jpg,0.9106110334396362,49,39,127,151,train
33,ENFJ,ENFJ/10f2e6b2e9.jpg,ENFJ/10f2e6b2e9_face.jpg,0.895896315574646,59,50,179,220,train
34,ENFJ,ENFJ/11583f8b5f.jpg,ENFJ/11583f8b5f_face.jpg,0.8893025517463684,158,176,532,688,test
35,ENFJ,ENFJ/117f70a874.jpg,ENFJ/117f70a874_face.jpg,0.9109349846839904,1100,131,1806,1062,train
36,ENFJ,ENFJ/1215f373ee.jpg,ENFJ/1215f373ee_face.jpg,0.9246969819068908,64,47,163,189,train
37,ENFJ,ENFJ/1329aa12d0.jpg,ENFJ/1329aa12d0_face.jpg,0.3914177417755127,269,0,1914,1871,train
38,ENFJ,ENFJ/1339191c6c.jpg,ENFJ/1339191c6c_face.jpg,0.8752210736274719,52,10,118,109,train
39,ENFJ,ENFJ/14047f69bc.jpg,ENFJ/14047f69bc_face.jpg,0.9079398512840272,428,423,1029,1254,train
40,ENFJ,ENFJ/1526238c93.jpg,ENFJ/1526238c93_face.jpg,0.905559241771698,586,307,1428,1423,train
41,ENFJ,ENFJ/152c60db39.jpg,ENFJ/152c60db39_face.jpg,0.9010589122772216,661,134,917,483,test
42,ENFJ,ENFJ/153f35d1d7.jpg,ENFJ/153f35d1d7_face.jpg,0.9043715000152588,64,24,144,137,val
43,ENFJ,ENFJ/1562e7e7f8.jpg,ENFJ/1562e7e7f8_face.jpg,0.9124007821083068,266,190,522,551,test
44,ENFJ,ENFJ/15852556a0.jpg,ENFJ/15852556a0_face.jpg,0.9019227027893066,251,117,1127,1267,train
45,ENFJ,ENFJ/15bfecfffb.jpg,ENFJ/15bfecfffb_face.jpg,0.8998333215713501,41,62,122,162,train
46,ENFJ,ENFJ/169903d8c0.jpg,ENFJ/169903d8c0_face.jpg,0.8837714195251465,50,36,156,154,train
47,ENFJ,ENFJ/16aa54607b.jpg,ENFJ/16aa54607b_face.jpg,0.9021041393280028,64,45,123,131,train
48,ENFJ,ENFJ/171c886674.jpg,ENFJ/171c886674_face.jpg,0.8927575349807739,54,36,136,149,train
49,ENFJ,ENFJ/178dc6b1f1.jpg,ENFJ/178dc6b1f1_face.jpg,0.8871806263923645,89,21,142,98,test
50,ENFJ,ENFJ/17b761d5f1.jpg,ENFJ/17b761d5f1_face.jpg,0.9056695103645324,311,127,572,468,train
51,ENFJ,ENFJ/17dfb8d282.jpg,ENFJ/17dfb8d282_face.jpg,0.8983398675918579,245,131,623,686,train
52,ENFJ,ENFJ/18405d70d9.jpg,ENFJ/18405d70d9_face.jpg,0.8814370036125183,66,47,133,130,train
53,ENFJ,ENFJ/18f50aa5ab.jpg,ENFJ/18f50aa5ab_face.jpg,0.890562891960144,38,69,128,184,train
54,ENFJ,ENFJ/194b7ad214.jpg,ENFJ/194b7ad214_face.jpg,0.9021605253219604,37,60,143,203,train
55,ENFJ,ENFJ/1993950703.jpg,ENFJ/1993950703_face.jpg,0.9029554724693298,76,41,157,162,train
56,ENFJ,ENFJ/19ad4b982e.jpg,ENFJ/19ad4b982e_face.jpg,0.8967629671096802,124,240,514,766,train
57,ENFJ,ENFJ/1a6bcda2aa.jpg,ENFJ/1a6bcda2aa_face.jpg,0.8868977427482605,94,60,283,312,test
58,ENFJ,ENFJ/1ad5aec409.jpg,ENFJ/1ad5aec409_face.jpg,0.9082626104354858,193,397,584,988,train
59,ENFJ,ENFJ/1b55f8fc68.jpg,ENFJ/1b55f8fc68_face.jpg,0.9038144946098328,189,118,364,353,train
60,ENFJ,ENFJ/1b6c7625d4.jpg,ENFJ/1b6c7625d4_face.jpg,0.9054419994354248,67,98,295,420,train
61,ENFJ,ENFJ/1c5f867d7a.jpg,ENFJ/1c5f867d7a_face.jpg,0.8825549483299255,75,58,139,147,train
62,ENFJ,ENFJ/1cf6b27057.jpg,ENFJ/1cf6b27057_face.jpg,0.8998907804489136,196,69,340,270,train
63,ENFJ,ENFJ/1cfbbf5ff1.jpg,ENFJ/1cfbbf5ff1_face.jpg,0.8923332691192627,94,15,207,167,val
64,ENFJ,ENFJ/1ed34f5e7f.jpg,ENFJ/1ed34f5e7f_face.jpg,0.9154044389724731,116,71,249,265,train
65,ENFJ,ENFJ/1fdc1fb04f.jpg,ENFJ/1fdc1fb04f_face.jpg,0.8975754976272583,132,251,483,659,val
66,ENFJ,ENFJ/1fe943b893.jpg,ENFJ/1fe943b893_face.jpg,0.8503231406211853,46,50,137,164,train
67,ENFJ,ENFJ/201c797053.jpg,ENFJ/201c797053_face.jpg,0.9003564119338989,268,73,696,612,train
68,ENFJ,ENFJ/20f5b7990d.jpg,ENFJ/20f5b7990d_face.jpg,0.905085265636444,51,30,128,139,train
69,ENFJ,ENFJ/212fc3a834.jpg,ENFJ/212fc3a834_face.jpg,0.5200868844985962,85,96,99,116,val
70,ENFJ,ENFJ/215fc2acc1.jpg,ENFJ/215fc2acc1_face.jpg,0.907736599445343,224,192,460,520,train
71,ENFJ,ENFJ/219b7befc5.jpg,ENFJ/219b7befc5_face.jpg,0.9281853437423706,50,50,165,220,val
72,ENFJ,ENFJ/229b23ccd9.jpg,ENFJ/229b23ccd9_face.jpg,0.9202349781990052,75,130,491,726,train
73,ENFJ,ENFJ/22f29674b8.jpg,ENFJ/22f29674b8_face.jpg,0.9315932989120485,86,86,214,247,train
74,ENFJ,ENFJ/230c8e2c23.jpg,ENFJ/230c8e2c23_face.jpg,0.8650729656219482,151,200,335,434,val
75,ENFJ,ENFJ/234bff7332.jpg,ENFJ/234bff7332_face.jpg,0.89513099193573,99,76,238,263,train
76,ENFJ,ENFJ/239fc62349.jpg,ENFJ/239fc62349_face.jpg,0.8936304450035095,349,78,587,370,test
77,ENFJ,ENFJ/23d05008c3.jpg,ENFJ/23d05008c3_face.jpg,0.9110525250434875,187,70,428,411,train
78,ENFJ,ENFJ/244c7cf880.jpg,ENFJ/244c7cf880_face.jpg,0.9173455834388732,144,98,403,457,val
79,ENFJ,ENFJ/248e0c9bd7.jpg,ENFJ/248e0c9bd7_face.jpg,0.9099130034446716,121,99,289,329,train
