id,name,four_letter,images_fetched
70,Barack Obama,ENFJ,3
4245,Jimin (BTS),ENFJ,3
28434,Bang Chan (Stray Kids),ENFJ,2
24955,Beomgyu (TXT),ENFJ,2
8943,Jackson Wang (GOT7),ENFJ,2
11993,Anya Taylor-Joy,ENFJ,2
971,Emma Stone,ENFJ,3
52937,Sydney Sweeney,ENFJ,3
10686,Meghan Markle,ENFJ,3
19051,Alexandria Ocasio-Cortez,ENFJ,2
422117,Huh Yunjin (LE SSERAFIM),ENFJ,3
529174,Danielle (NewJeans),ENFJ,3
29749,Dove Cameron,ENFJ,3
6126,Anthony Padilla,ENFJ,2
64059,Ekrem İmamoğlu,ENFJ,3
689,Oprah Winfrey,ENFJ,2
20619,Choerry (ARTMS),ENFJ,3
16719,Saoirse Ronan,ENFJ,3
8919,Chanyeol (EXO),ENFJ,3
2192,Justin Trudeau,ENFJ,2
8916,Suho (EXO),ENFJ,3
2712,Meryl Streep,ENFJ,3
470,Matthew McConaughey,ENFJ,2
29502,Malala Yousafzai,ENFJ,3
3400,Gal Gadot,ENFJ,3
34167,Solar (MAMAMOO),ENFJ,3
22498,Rosal�a,ENFJ,3
995,Hugh Jackman,ENFJ,3
3281,Johann Wolfgang von Goethe,ENFJ,3
13533,Jim Jones,ENFJ,3
14234,Franz Liszt,ENFJ,3
26715,Minnie GIDLE,ENFJ,3
11777,Colleen Ballinger,ENFJ,3
11324,Luka Magnotta,ENFJ,3
459797,Kit Connor,ENFJ,3
290043,Yassine Bounou,ENFJ,2
16710,Hailee Steinfeld,ENFJ,3
12473,Chlo� Grace Moretz,ENFJ,3
11673,Jessica Chastain,ENFJ,2
809543,Sung Hanbin (ZEROBASEONE),ENFJ,2
462,Kate Winslet,ENFJ,3
27109,Willem Dafoe,ENFJ,3
81146,Ian Somerhalder,ENFJ,3
15914,Ewan McGregor,ENFJ,3
129644,Q (The Boyz),ENFJ,3
114093,Projota,ENFJ,3
40338,Lea Michele,ENFJ,3
18589,Kang Daniel,ENFJ,3
40312,Ramani Durvasula,ENFJ,2
31138,Chris Ulmer (Special Books by Special Kids),ENFJ,3
14694,Bradley Cooper,ENFJ,2
137,Reese Witherspoon,ENFJ,3
12664,Ethan Hawke,ENFJ,3
24814,Lee Chaeyeon,ENFJ,3
31435,Jameela Jamil,ENFJ,3
36539,Shayne Topp (Smosh),ENFJ,3
124294,Rezo,ENFJ,2
280170,Edvin Ryding,ENFJ,2
162840,Simu Liu,ENFJ,3
5806,Jared Padalecki,ENFJ,3
10153,Victoria Justice,ENFJ,3
194846,Madelyn Cline,ENFJ,3
34613,Gisele B�ndchen,ENFJ,3
58951,Vivien Leigh,ENFJ,2
19460,Jacinda Ardern,ENFJ,3
17678,Paola Carosella,ENFJ,3
213570,Rachel Zegler,ENFJ,3
298361,Ananda Morais,ENFJ,2
20091,Sharon Osbourne,ENFJ,3
30819,Bang Shi Hyuk,ENFJ,3
42452,Cameron Boyce,ENFJ,2
314583,Kang Yeseo (Kep1er),ENFJ,2
252755,Renato Cariani,ENFJ,2
16704,Camila Mendes,ENFJ,2
359532,Kim Chaehyun (Kep1er),ENFJ,2
23918,Kwon Yuri (SNSD),ENFJ,2
131784,Naya Rivera,ENFJ,3
10457,Giancarlo Esposito,ENFJ,2
38383,Grayson Dolan,ENFJ,3
16718,Natalie Dormer,ENFJ,3
165483,Javier Santaolalla (Date un Vlog),ENFJ,3
408163,Dmytro Komarov,ENFJ,3
142428,Choi Hyunsuk (TREASURE),ENFJ,2
30973,Adam Mickiewicz,ENFJ,3
18904,Taddl (Dat Adam),ENFJ,3
20677,Jane Fonda,ENFJ,3
58338,Sarah Michelle Gellar,ENFJ,3
74066,Keke Palmer,ENFJ,3
32766,Ansel Elgort,ENFJ,2
11313,Dakota Fanning,ENFJ,3
26323,Alfred Adler,ENFJ,3
3741,F. Scott Fitzgerald,ENFJ,2
114106,Bren� Brown,ENFJ,3
3484,Michael Phelps,ENFJ,3
25512,Michelle Yeoh,ENFJ,2
15269,Leonard Bernstein,ENFJ,3
144174,Park Min-young,ENFJ,3
179231,Kerem B�rsin,ENFJ,2
145999,Alexander Rybak,ENFJ,2
23289,Viola Davis,ENFJ,2
282572,Karamo Brown,ENFJ,3
40689,Celso Portiolli,ENFJ,3
11597,Cory Booker,ENFJ,2
41756,U-Know Yunho (TVXQ),ENFJ,2
73235,Masih Alinejad,ENFJ,3
35120,Sophia Loren,ENFJ,3
19311,Lupita Nyong'o,ENFJ,3
232741,Serenay,ENFJ,2
50025,"Sungjin (DAY6)",ENFJ,3
357935,"Jesse James West",ENFJ,2
30212,"Ilhan Omar",ENFJ,3
26953,"Eric Nam",ENFJ,3
671577,"Walid Regragui",ENFJ,2
11479,"Michael Moore",ENFJ,3
77992,"Danilo Zanna",ENFJ,3
21392,"Yunhyeong (iKON)",ENFJ,3
26324,"Abraham Maslow",ENFJ,3
22566,"Antonio Banderas",ENFJ,3
60899,"Ali Daei",ENFJ,3
16680,"Sam Claflin",ENFJ,3
312864,"Niamh Adkins",ENFJ,2
65030,"Bryan Dechart",ENFJ,3
41020,"Maya Angelou",ENFJ,3
113507,"Catriona Gray",ENFJ,2
47401,"IZA",ENFJ,2
39761,"Sofia Carson",ENFJ,3
46236,"Gl�ria Maria",ENFJ,3
16923,"Rebecca �Becca� Parham (Let Me Explain Studios)",ENFJ,3
972,"AnnaSophia Robb",ENFJ,2
47299,"Dele Alli",ENFJ,3
362028,"Sam Yang (samdoesarts)",ENFJ,2
18598,"Yoon Jisung",ENFJ,3
129154,"Alok (DJ)",ENFJ,3
72276,"Cinta Laura",ENFJ,2
8877,"Erich Fromm",ENFJ,3
267008,"Chanty Binx",ENFJ,3
155885,"Tini Stoessel",ENFJ,2
21659,"Taraneh Alidousti",ENFJ,3
21393,"Donghyuk (iKON)",ENFJ,2
44719,"Eunseo (WJSN)",ENFJ,3
275672,"Eda Erdem D�ndar",ENFJ,3
27901,"Jessica Lange",ENFJ,3
257470,"Amanda Gorman",ENFJ,3
135705,some_celeb,ENFJ,3
299029,"Ananda Morais",ENFJ,2
10294,"Karlie Kloss",ENFJ,3
34926,"Elkie (CLC)",ENFJ,3
34787,"Helen Mirren",ENFJ,3
77355,"Hayley Atwell",ENFJ,3
36253,"Olivia Munn",ENFJ,3
39841,"Keith Raniere",ENFJ,3
58380,"Krystal Ball",ENFJ,3
5888,"Giuseppe Verdi",ENFJ,3
40026,"Rob McElhenney",ENFJ,3
515617,"Perrell Brown (Dreamybull)",ENFJ,3
29243,"Nigella Lawson",ENFJ,2
102806,"Carles Puyol",ENFJ,3
24656,"Ailee",ENFJ,3
208428,"Rob Zeke Collopy",ENFJ,3
126601,"Emicida",ENFJ,2
21517,"Laura Dern",ENFJ,3
18582,"Iker Casillas",ENFJ,3
20640,"Don Lemon",ENFJ,2
134937,"D�bora Aladim",ENFJ,2
19094,"Rashida Jones",ENFJ,3
22551,"Patrick Swayze",ENFJ,3
28446,"Iman",ENFJ,2
258958,"Michael Chandler",ENFJ,3
86750,"Zuho (SF9)",ENFJ,3
79332,"Tedua (Mario Molinari)",ENFJ,3
105883,"Ray Chen",ENFJ,3
44713,"EXY (WJSN)",ENFJ,3
62138,"Belinda",ENFJ,3
31496,"Jason Nash",ENFJ,3
50919,"Farah Diba, Shahbanu of Iran",ENFJ,3
32341,"Jet Li",ENFJ,3
22866,"Stephanie Beatriz",ENFJ,3
63416,"C�sar Mill�n",ENFJ,3
16295,"Larry "Wheels" Williams",ENFJ,3
287248,"OG Buda",ENFJ,3
318833,"Sophia Valverde",ENFJ,2
60950,"Jonathan Groff",ENFJ,2
19746,"Colin Kaepernick",ENFJ,3
38693,"Deepak Chopra",ENFJ,3
151499,"Eddie Woo",ENFJ,2
329224,"Will Neff",ENFJ,2
268545,some_celeb,ENFJ,2
96001,"Sophia",ENFJ,3
25613,"Jeff Bridges",ENFJ,3
88766,"Priscilla Chan Zuckerberg",ENFJ,3
68890,"Ravn",ENFJ,3
32339,"Linda Cardellini",ENFJ,2
202804,"Olivier Giroud",ENFJ,3
23549,"Sergey Lazarev",ENFJ,2
67300,"Henrik Holm",ENFJ,2
366062,"Bruno Mossa de Rezende "Bruno"",ENFJ,3
231563,"Kate Walsh",ENFJ,2
573948,"Victor Wembanyama",ENFJ,3
2956,"Charlie Rose",ENFJ,3
29776,"Dan Crenshaw",ENFJ,3
4247,"Taehyung "V" (BTS)",ENFP,3
970,"Jennifer Lawrence",ENFP,3
28432,"Lee Felix (Stray Kids)",ENFP,2
13846,"Tom Holland",ENFP,3
97,"Will Smith",ENFP,3
162398,"Hoyeon",ENFP,3
24957,"Huening Kai (TXT)",ENFP,3
566,"Jim Carrey",ENFP,3
975,"Anne Frank",ENFP,3
20622,"Chuu",ENFP,3
20605,"Sana (TWICE)",ENFP,2
2530,"Ellen DeGeneres",ENFP,3
978,"Robin Williams",ENFP,3
26711,"Shuhua, (G)I-DLE",ENFP,2
11815,"John Mulaney",ENFP,3
529172,"Hanni (NewJeans)",ENFP,2
4274,"Salvador Dal�",ENFP,3
976,"Walt Disney",ENFP,3
974,"Oscar Wilde",ENFP,3
23619,"Bad Bunny",ENFP,3
1304,"George Carlin",ENFP,3
452,"Donald Glover / Childish Gambino",ENFP,3
152876,"Sunoo (ENHYPEN)",ENFP,3
10257,"Yeri (Red Velvet)",ENFP,3
39192,"Hirohiko Araki",ENFP,3
3226,"Brie Larson",ENFP,3
587,"Daniel Radcliffe",ENFP,3
16990,"Jake Gyllenhaal",ENFP,3
12096,"Pedro Pascal",ENFP,3
26814,"Lia (ITZY)",ENFP,3
770,"Charles Manson",ENFP,3
