id,name,four_letter,images_fetched,split
24955,Beomgyu (TXT),ENFJ,4,train
70,Barack Obama,ENFJ,4,train
4245,Jimin (BTS),ENFJ,4,train
28434,Bang Chan (Stray Kids),ENFJ,3,test
8943,Jackson Wang (GOT7),ENFJ,4,train
11993,Anya Taylor-Joy,ENFJ,4,val
971,Emma Stone,ENFJ,4,train
52937,Sydney Sweeney,ENFJ,4,train
10686,Meghan Markle,ENFJ,4,val
19051,Alexandria Ocasio-Cortez,ENFJ,3,train
422117,Huh Yunjin (LE SSERAFIM),ENFJ,4,train
529174,Danielle (NewJeans),ENFJ,4,train
29749,Dove Cameron,ENFJ,4,train
6126,Anthony Padilla,ENFJ,4,train
64059,Ekrem İmamoğlu,ENFJ,4,train
689,Oprah Winfrey,ENFJ,4,train
20619,Choerry (ARTMS),ENFJ,3,train
16719,Saoirse Ronan,ENFJ,4,train
8919,Chanyeol (EXO),ENFJ,4,train
2192,Justin Trudeau,ENFJ,4,train
8916,Suho (EXO),ENFJ,4,train
2712,Meryl Streep,ENFJ,4,test
470,Matthew McConaughey,ENFJ,4,train
29502,Malala Yousafzai,ENFJ,3,train
3400,Gal Gadot,ENFJ,4,train
34167,Solar (MAMAMOO),ENFJ,4,train
22498,Rosalía,ENFJ,4,train
995,Hugh Jackman,ENFJ,4,train
3281,Johann Wolfgang von Goethe,ENFJ,4,train
13533,Jim Jones,ENFJ,4,train
14234,Franz Liszt,ENFJ,4,train
26715,"Minnie, (G)I-DLE",ENFJ,4,test
11777,Colleen Ballinger,ENFJ,4,train
11324,Luka Magnotta,ENFJ,4,val
459797,Kit Connor,ENFJ,3,val
290043,Yassine Bounou,ENFJ,4,val
16710,Hailee Steinfeld,ENFJ,3,train
12473,Chloë Grace Moretz,ENFJ,4,train
11673,Jessica Chastain,ENFJ,4,train
809543,Sung Hanbin (ZEROBASEONE),ENFJ,4,train
462,Kate Winslet,ENFJ,4,train
27109,Willem Dafoe,ENFJ,3,train
81146,Ian Somerhalder,ENFJ,4,train
15914,Ewan McGregor,ENFJ,4,train
129644,Q (The Boyz),ENFJ,3,train
114093,Projota,ENFJ,4,train
40338,Lea Michele,ENFJ,4,test
18589,Kang Daniel,ENFJ,4,train
40312,Ramani Durvasula,ENFJ,2,train
31138,Chris Ulmer (Special Books by Special Kids),ENFJ,4,train
14694,Bradley Cooper,ENFJ,3,train
137,Reese Witherspoon,ENFJ,4,train
12664,Ethan Hawke,ENFJ,4,train
24814,Lee Chaeyeon,ENFJ,3,train
31435,Jameela Jamil,ENFJ,4,train
36539,Shayne Topp (Smosh),ENFJ,4,train
124294,Rezo,ENFJ,4,train
280170,Edvin Ryding,ENFJ,4,train
162840,Simu Liu,ENFJ,4,train
5806,Jared Padalecki,ENFJ,4,val
10153,Victoria Justice,ENFJ,4,train
194846,Madelyn Cline,ENFJ,4,val
34613,Gisele Bündchen,ENFJ,4,test
58951,Vivien Leigh,ENFJ,4,train
19460,Jacinda Ardern,ENFJ,4,train
17678,Paola Carosella,ENFJ,4,train
213570,Rachel Zegler,ENFJ,4,train
298361,Ananda Morais,ENFJ,4,train
20091,Sharon Osbourne,ENFJ,4,train
30819,Bang Shi Hyuk,ENFJ,4,train
42452,Cameron Boyce,ENFJ,4,train
314583,Kang Yeseo (Kep1er),ENFJ,4,train
252755,Renato Cariani,ENFJ,4,train
16704,Camila Mendes,ENFJ,4,train
359532,Kim Chaehyun (Kep1er),ENFJ,4,train
23918,Kwon Yuri (SNSD),ENFJ,3,train
131784,Naya Rivera,ENFJ,4,test
10457,Giancarlo Esposito,ENFJ,4,train
38383,Grayson Dolan,ENFJ,4,test
16718,Natalie Dormer,ENFJ,4,train
165483,Javier Santaolalla (Date un Vlog),ENFJ,3,train
408163,Dmytro Komarov,ENFJ,4,train
142428,Choi Hyunsuk (TREASURE),ENFJ,3,train
30973,Adam Mickiewicz,ENFJ,4,train
18904,Taddl (Dat Adam),ENFJ,4,train
20677,Jane Fonda,ENFJ,4,train
58338,Sarah Michelle Gellar,ENFJ,4,train
74066,Keke Palmer,ENFJ,4,val
32766,Ansel Elgort,ENFJ,4,train
11313,Dakota Fanning,ENFJ,4,test
26323,Alfred Adler,ENFJ,4,train
3741,F. Scott Fitzgerald,ENFJ,4,train
114106,Brené Brown,ENFJ,4,test
3484,Michael Phelps,ENFJ,3,train
25512,Michelle Yeoh,ENFJ,3,val
15269,Leonard Bernstein,ENFJ,4,train
144174,Park Min-young,ENFJ,4,train
179231,Kerem Bürsin,ENFJ,4,train
145999,Alexander Rybak,ENFJ,4,val
23289,Viola Davis,ENFJ,4,train
282572,Karamo Brown,ENFJ,3,train
40689,Celso Portiolli,ENFJ,4,train
11597,Cory Booker,ENFJ,4,train
41756,U-Know Yunho (TVXQ),ENFJ,4,train
73235,Masih Alinejad,ENFJ,4,train
35120,Sophia Loren,ENFJ,4,train
19311,Lupita Nyong'o,ENFJ,4,train
232741,Serenay Sarıkaya,ENFJ,4,train
50025,Sungjin (DAY6),ENFJ,3,train
357935,Jesse James West,ENFJ,4,train
30212,Ilhan Omar,ENFJ,4,train
26953,Eric Nam,ENFJ,4,val
671577,Walid Regragui,ENFJ,4,train
11479,Michael Moore,ENFJ,4,train
77992,Danilo Zanna,ENFJ,3,train
21392,Yunhyeong (iKON),ENFJ,3,train
26324,Abraham Maslow,ENFJ,3,train
22566,Antonio Banderas,ENFJ,4,val
60899,Ali Daei,ENFJ,4,test
16680,Sam Claflin,ENFJ,4,train
312864,Niamh Adkins,ENFJ,4,train
65030,Bryan Dechart,ENFJ,3,train
41020,Maya Angelou,ENFJ,4,train
113507,Catriona Gray,ENFJ,3,test
47401,IZA,ENFJ,4,train
39761,Sofia Carson,ENFJ,3,train
46236,Glória Maria,ENFJ,4,train
16923,Rebecca “Becca” Parham (Let Me Explain Studios),ENFJ,3,train
972,AnnaSophia Robb,ENFJ,4,train
47299,Dele Alli,ENFJ,4,test
362028,Sam Yang (samdoesarts),ENFJ,4,train
18598,Yoon Jisung,ENFJ,3,val
129154,Alok (DJ),ENFJ,4,test
72276,Cinta Laura,ENFJ,4,train
8877,Erich Fromm,ENFJ,4,train
267008,Chanty Binx,ENFJ,4,train
155885,Tini Stoessel,ENFJ,3,test
21659,Taraneh Alidousti,ENFJ,4,val
21393,Donghyuk (iKON),ENFJ,4,train
