id,name,four_letter,images_fetched
24955,"Beomgyu (TXT)",ENFJ,4
70,"Barack Obama",ENFJ,4
4245,"Jimin (BTS)",ENFJ,4
28434,"Bang Chan (Stray Kids)",ENFJ,3
8943,"Jackson Wang (GOT7)",ENFJ,4
11993,"Anya Taylor-Joy",ENFJ,4
971,"Emma Stone",ENFJ,4
52937,"Sydney Sweeney",ENFJ,4
10686,"Meghan Markle",ENFJ,4
19051,"Alexandria Ocasio-Cortez",ENFJ,3
422117,"Huh Yunjin (LE SSERAFIM)",ENFJ,4
529174,"Danielle (NewJeans)",ENFJ,4
29749,"Dove Cameron",ENFJ,4
6126,"Anthony Padilla",ENFJ,4
64059,"Ekrem İmamoğlu",ENFJ,4
689,"Oprah Winfrey",ENFJ,4
20619,"Choerry (ARTMS)",ENFJ,3
16719,"Saoirse Ronan",ENFJ,4
8919,"Chanyeol (EXO)",ENFJ,4
2192,"Justin Trudeau",ENFJ,4
8916,"Suho (EXO)",ENFJ,4
2712,"Meryl Streep",ENFJ,4
470,"Matthew McConaughey",ENFJ,4
29502,"Malala Yousafzai",ENFJ,3
3400,"Gal Gadot",ENFJ,4
34167,"Solar (MAMAMOO)",ENFJ,4
22498,"Rosalía",ENFJ,4
995,"Hugh Jackman",ENFJ,4
3281,"Johann Wolfgang von Goethe",ENFJ,4
13533,"Jim Jones",ENFJ,4
14234,"Franz Liszt",ENFJ,4
26715,"Minnie, (G)I-DLE",ENFJ,4
11777,"Colleen Ballinger",ENFJ,4
11324,"Luka Magnotta",ENFJ,4
459797,"Kit Connor",ENFJ,3
290043,"Yassine Bounou",ENFJ,4
16710,"Hailee Steinfeld",ENFJ,3
12473,"Chloë Grace Moretz",ENFJ,4
11673,"Jessica Chastain",ENFJ,4
809543,"Sung Hanbin (ZEROBASEONE)",ENFJ,4
462,"Kate Winslet",ENFJ,4
27109,"Willem Dafoe",ENFJ,3
81146,"Ian Somerhalder",ENFJ,4
15914,"Ewan McGregor",ENFJ,4
129644,"Q (The Boyz)",ENFJ,3
114093,"Projota",ENFJ,4
40338,"Lea Michele",ENFJ,4
18589,"Kang Daniel",ENFJ,4
40312,"Ramani Durvasula",ENFJ,2
31138,"Chris Ulmer (Special Books by Special Kids)",ENFJ,4
14694,"Bradley Cooper",ENFJ,3
137,"Reese Witherspoon",ENFJ,4
12664,"Ethan Hawke",ENFJ,4
24814,"Lee Chaeyeon",ENFJ,3
31435,"Jameela Jamil",ENFJ,4
36539,"Shayne Topp (Smosh)",ENFJ,4
124294,"Rezo",ENFJ,4
280170,"Edvin Ryding",ENFJ,4
162840,"Simu Liu",ENFJ,4
5806,"Jared Padalecki",ENFJ,4
10153,"Victoria Justice",ENFJ,4
194846,"Madelyn Cline",ENFJ,4
34613,"Gisele Bündchen",ENFJ,4
58951,"Vivien Leigh",ENFJ,4
19460,"Jacinda Ardern",ENFJ,4
17678,"Paola Carosella",ENFJ,4
213570,"Rachel Zegler",ENFJ,4
298361,"Ananda Morais",ENFJ,4
20091,"Sharon Osbourne",ENFJ,4
30819,"Bang Shi Hyuk",ENFJ,4
42452,"Cameron Boyce",ENFJ,4
314583,"Kang Yeseo (Kep1er)",ENFJ,4
252755,"Renato Cariani",ENFJ,4
16704,"Camila Mendes",ENFJ,4
359532,"Kim Chaehyun (Kep1er)",ENFJ,4
23918,"Kwon Yuri (SNSD)",ENFJ,3
131784,"Naya Rivera",ENFJ,4
10457,"Giancarlo Esposito",ENFJ,4
38383,"Grayson Dolan",ENFJ,4
16718,"Natalie Dormer",ENFJ,4
165483,"Javier Santaolalla (Date un Vlog)",ENFJ,3
408163,"Dmytro Komarov",ENFJ,4
142428,"Choi Hyunsuk (TREASURE)",ENFJ,3
30973,"Adam Mickiewicz",ENFJ,4
18904,"Taddl (Dat Adam)",ENFJ,4
20677,"Jane Fonda",ENFJ,4
58338,"Sarah Michelle Gellar",ENFJ,4
74066,"Keke Palmer",ENFJ,4
32766,"Ansel Elgort",ENFJ,4
11313,"Dakota Fanning",ENFJ,4
26323,"Alfred Adler",ENFJ,4
3741,"F. Scott Fitzgerald",ENFJ,4
114106,"Brené Brown",ENFJ,4
3484,"Michael Phelps",ENFJ,3
25512,"Michelle Yeoh",ENFJ,3
15269,"Leonard Bernstein",ENFJ,4
144174,"Park Min-young",ENFJ,4
179231,"Kerem Bürsin",ENFJ,4
145999,"Alexander Rybak",ENFJ,4
23289,"Viola Davis",ENFJ,4
282572,"Karamo Brown",ENFJ,3
40689,"Celso Portiolli",ENFJ,4
11597,"Cory Booker",ENFJ,4
41756,"U-Know Yunho (TVXQ)",ENFJ,4
73235,"Masih Alinejad",ENFJ,4
35120,"Sophia Loren",ENFJ,4
19311,"Lupita Nyong'o",ENFJ,4
232741,"Serenay Sarıkaya",ENFJ,4
50025,"Sungjin (DAY6)",ENFJ,3
357935,"Jesse James West",ENFJ,4
30212,"Ilhan Omar",ENFJ,4
26953,"Eric Nam",ENFJ,4
671577,"Walid Regragui",ENFJ,4
11479,"Michael Moore",ENFJ,4
77992,"Danilo Zanna",ENFJ,3
21392,"Yunhyeong (iKON)",ENFJ,3
26324,"Abraham Maslow",ENFJ,3
22566,"Antonio Banderas",ENFJ,4
60899,"Ali Daei",ENFJ,4
16680,"Sam Claflin",ENFJ,4
312864,"Niamh Adkins",ENFJ,4
65030,"Bryan Dechart",ENFJ,3
41020,"Maya Angelou",ENFJ,4
113507,"Catriona Gray",ENFJ,3
47401,"IZA",ENFJ,4
39761,"Sofia Carson",ENFJ,3
46236,"Glória Maria",ENFJ,4
16923,"Rebecca “Becca” Parham (Let Me Explain Studios)",ENFJ,3
972,"AnnaSophia Robb",ENFJ,4
47299,"Dele Alli",ENFJ,4
362028,"Sam Yang (samdoesarts)",ENFJ,4
18598,"Yoon Jisung",ENFJ,3
129154,"Alok (DJ)",ENFJ,4
72276,"Cinta Laura",ENFJ,4
8877,"Erich Fromm",ENFJ,4
267008,"Chanty Binx",ENFJ,4
155885,"Tini Stoessel",ENFJ,3
21659,"Taraneh Alidousti",ENFJ,4
21393,"Donghyuk (iKON)",ENFJ,4
44719,"Eunseo (WJSN)",ENFJ,4
275672,"Eda Erdem Dündar",ENFJ,4
27901,"Jessica Lange",ENFJ,4
257470,"Amanda Gorman",ENFJ,4
135705,"Szymon Hołownia",ENFJ,4
299029,"Ananda Morais",ENFJ,4
10294,"Karlie Kloss",ENFJ,4
34926,"Elkie (CLC)",ENFJ,4
34787,"Helen Mirren",ENFJ,4
77355,"Hayley Atwell",ENFJ,4
36253,"Olivia Munn",ENFJ,4
39841,"Keith Raniere",ENFJ,4
58380,"Krystal Ball",ENFJ,4
5888,"Giuseppe Verdi",ENFJ,4
40026,"Rob McElhenney",ENFJ,4
515617,"Perrell Brown (Dreamybull)",ENFJ,4
29243,"Nigella Lawson",ENFJ,2
102806,"Carles Puyol",ENFJ,4
24656,"Ailee",ENFJ,4
208428,"Rob Zeke Collopy",ENFJ,3
126601,"Emicida",ENFJ,3
21517,"Laura Dern",ENFJ,4
18582,"Iker Casillas",ENFJ,4
20640,"Don Lemon",ENFJ,4
134937,"Débora Aladim",ENFJ,4
19094,"Rashida Jones",ENFJ,4
22551,"Patrick Swayze",ENFJ,4
28446,"Iman",ENFJ,4
258958,"Michael Chandler",ENFJ,4
86750,"Zuho (SF9)",ENFJ,3
79332,"Tedua (Mario Molinari)",ENFJ,4
105883,"Ray Chen",ENFJ,4
44713,"EXY (WJSN)",ENFJ,4
62138,"Belinda",ENFJ,4
31496,"Jason Nash",ENFJ,4
50919,"Farah Diba, Shahbanu of Iran",ENFJ,4
32341,"Jet Li",ENFJ,4
22866,"Stephanie Beatriz",ENFJ,4
63416,"César Millán",ENFJ,4
16295,"Larry "Wheels" Williams",ENFJ,3
287248,"OG Buda",ENFJ,4
318833,"Sophia Valverde",ENFJ,3
60950,"Jonathan Groff",ENFJ,4
19746,"Colin Kaepernick",ENFJ,4
38693,"Deepak Chopra",ENFJ,3
151499,"Eddie Woo",ENFJ,4
329224,"Will Neff",ENFJ,4
268545,"Pınar Deniz",ENFJ,4
96001,"Sophia",ENFJ,4
25613,"Jeff Bridges",ENFJ,4
88766,"Priscilla Chan Zuckerberg",ENFJ,4
68890,"Ravn",ENFJ,4
32339,"Linda Cardellini",ENFJ,4
202804,"Olivier Giroud",ENFJ,4
23549,"Sergey Lazarev",ENFJ,3
67300,"Henrik Holm",ENFJ,3
366062,"Bruno Mossa de Rezende "Bruno"",ENFJ,4
231563,"Kate Walsh",ENFJ,4
573948,"Victor Wembanyama",ENFJ,4
2956,"Charlie Rose",ENFJ,4
29776,"Dan Crenshaw",ENFJ,4
4247,"Taehyung "V" (BTS)",ENFP,4
970,"Jennifer Lawrence",ENFP,4
28432,"Lee Felix (Stray Kids)",ENFP,4
13846,"Tom Holland",ENFP,4
97,"Will Smith",ENFP,4
162398,"Hoyeon",ENFP,4
24957,"Huening Kai (TXT)",ENFP,4
566,"Jim Carrey",ENFP,4
975,"Anne Frank",ENFP,4
20622,"Chuu",ENFP,4
20605,"Sana (TWICE)",ENFP,4
2530,"Ellen DeGeneres",ENFP,4
978,"Robin Williams",ENFP,4
26711,"Shuhua, (G)I-DLE",ENFP,3
11815,"John Mulaney",ENFP,4
529172,"Hanni (NewJeans)",ENFP,4
